Seating Capacity,Length,Breadth,Height,Weight,CC,Speed,ElectricMotor
60,16,3.32,2.78,8084,210,5.954740231,2.2
80,16,4.58,2.78,10428,210,5.242946931,2.2
100,18.4,4.58,2.78,12746,210,4.742299911,2.2
20,8,3.32,2.78,3186,210,12.33936331,4.3
30,10,3.32,2.78,4513,210,10.3677131,4.3
40,12,3.32,2.78,5782,210,9.159601797,4.3
60,16,3.32,2.78,8084,210,7.74644577,4.3
80,16,4.58,2.78,10428,210,6.820482926,4.3
100,18.4,4.58,2.78,12746,210,6.16919759,4.3
20,8,3.32,2.78,3186,210,16.6383941,8
30,10,3.32,2.78,4513,210,13.97982149,8
40,12,3.32,2.78,5782,210,12.35080454,8
60,16,3.32,2.78,8084,210,10.44530535,8
80,16,4.58,2.78,10428,210,9.196737301,8
100,18.4,4.58,2.78,12746,210,8.318544333,8
20,8,3.32,2.78,3186,210,19.68681339,11
30,10,3.32,2.78,4513,210,16.54114785,11
40,12,3.32,2.78,5782,210,14.61366901,11
60,16,3.32,2.78,8084,210,12.35905196,11
80,16,4.58,2.78,10428,210,10.88172632,11
100,18.4,4.58,2.78,12746,210,9.842634391,11
20,8,3.32,2.78,3186,210,22.0105265,15
30,10,3.32,2.78,4513,210,18.49356551,15
40,12,3.32,2.78,5782,210,16.33857866,15
60,16,3.32,2.78,8084,210,13.81784016,15
80,16,4.58,2.78,10428,210,12.16613989,15
100,18.4,4.58,2.78,12746,210,11.00439979,15
20,8,3.32,2.78,3186,210,23.53024259,20
30,10,3.32,2.78,4513,210,19.77045315,20
40,12,3.32,2.78,5782,210,17.46667529,20
60,16,3.32,2.78,8084,210,14.77189248,20
80,16,4.58,2.78,10428,210,13.00615062,20
100,18.4,4.58,2.78,12746,210,11.76419822,20
20,8,3.32,2.78,3186,210,24.95759115,25
30,10,3.32,2.78,4513,210,20.96973223,25
40,12,3.32,2.78,5782,210,18.52620682,25
60,16,3.32,2.78,8084,210,15.66795802,25
80,16,4.58,2.78,10428,210,13.79510595,25
100,18.4,4.58,2.78,12746,210,12.4778165,25
